Princess Peach,long blond hair styled with a crown,slender body,pink princess gown with white gloves,bright royal castle interior
Princess Daisy,short auburn hair with a flower crown,slim athletic body,yellow and orange princess dress,sunny sports stadium background
Rosalina,long platinum blond hair covering one eye,slender tall body,light turquoise cosmic gown,glowing star observatory
Samus Aran,long blond ponytail,strengthened athletic body,orange and red power suit or zero suit depending on version,futuristic sci-fi space station
Toadette,pink mushroom pigtails,small toad body,pink dress with white trim,mushroom kingdom village
Zelda,long blond hair with ornate braids,slender regal body,royal Hylian dress,ancient temple of Hyrule
Sheik,short blond hair hidden behind a wrap,agile athletic body,stealth ninja-like outfit,moonlit ruins background
Impa,long white braided hair,strong muscular body,Sheikah warrior armor,ancient Sheikah shrine background
Midna (true form),long orange hair with magical patterns,slender imp-like body,black and cyan magical robe,twilight realm palace
Palutena,long flowing green hair,tall divine body,white and gold goddess robes,sky temple background
Pittoo (Pandora Form),long spiky purple hair,slim body,dark Greek-style outfit,chaotic mirror realm
Bayonetta,long black hair used as magic,curvy tall body,black witch bodysuit with red ribbons,gothic cathedral battleground
Isabelle,short golden fur hair,small anthropomorphic dog body,green office vest and skirt,Animal Crossing town hall
Amy Rose,short pink quills,small hedgehog body,red dress and boots,Green Hill Zone background
Pauline,long wavy brown hair,slender tall body,red musician dress,New Donk City at night
Birdo,pink snout and spiked bow,round dinosaur body,pink skin with accessories,tropical Mario Kart track
Wendy O. Koopa,blond bow hair,small koopa body,pink jewelry and bracelets,Bowser's castle throne room
Twintelle,long silver curls,curvy athletic body,elegant ARMS battle suit,futuristic ARMS arena
Shantae,long long red ponytail (half-genie),slender athletic body,red dancer-style outfit,desert palace ruins
