Ariel,long flowing red hair,slender mermaid body,shimmering green tail and purple seashell top,underwater coral kingdom background
Belle,brown wavy hair tied in a ponytail,slender body,yellow ball gown,grand castle ballroom background
Cinderella,blond hair in an elegant updo,slender body,blue shimmering ball gown,royal palace staircase at night
Snow White,short black bob with a red bow,petite body,blue and yellow dress with puffed sleeves,enchanting forest cottage background
Aurora,long golden curls,graceful slender body,pink royal gown,magical woodland castle background
Jasmine,long thick black hair in low-tied ponytails,slim athletic body,teal outfit with golden jewels,Arabian palace balcony at sunset
Mulan,long straight black hair,slender athletic body,traditional Chinese warrior attire,ancient battlefield with cherry blossoms
Pocahontas,long flowing raven-black hair,strong athletic body,brown suede tribal dress,river cliff with swirling autumn leaves
Tiana,short dark hair in a tiara,elegant slender body,green lily-pad inspired gown,New Orleans bayou with floating lanterns
Rapunzel,extremely long golden hair,slender body,purple medieval dress,cozy tower room with painted murals
Merida,long wild red curls,strong athletic body,green Highland dress,foggy Scottish forest background
Moana,long wavy dark hair,tan athletic body,Polynesian woven outfit,tropical island shoreline
Elsa,platinum blond braid,slender body,blue ice gown,crystal ice palace background
Anna,reddish-brown braided pigtails,slender body,blue and magenta winter outfit,snowy Nordic village background
Tinker Bell,short blond pixie cut,tiny fairy body,green leaf dress,glowing fairy forest background
Vanellope,black messy hair in a candy-themed ponytail,childlike body,mint-green hoodie and candy skirt,candy race track world background
Esmeralda,long curly black hair,slim curvy body,white blouse with purple skirt and golden accessories,colorful festival streets of Paris
Megara,long wavy auburn hair,slender curvy body,purple Greek-style dress,ancient Greek temple ruins
Kida,long white hair in tribal braids,athletic toned body,Atlantean warrior outfit,glowing underwater ruins
Jane Porter,light brown tied-up hair,slender body,yellow Victorian explorer dress,lush African jungle camp
